Company,Founded,HQCountry,Source
7-Eleven,1927,United States,https://en.wikipedia.org/wiki/7-Eleven
Ampol,1936,Australia,https://en.wikipedia.org/wiki/Ampol
BP,1909,United Kingdom,https://en.wikipedia.org/wiki/BP
Budget,1976,Australia,https://www.gascorp.com.au/
Caltex,1936,United States,https://en.wikipedia.org/wiki/Caltex
Coles Express,2003,Australia,https://en.wikipedia.org/wiki/Coles_Express
Costco,1976,United States,https://en.wikipedia.org/wiki/Costco
EG Ampol,1996,Australia,https://en.wikipedia.org/wiki/EG_Australia
Enhance,,Australia,https://parkfuels.com.au/
Independent,,,
Inland Petroleum,1985,Australia,https://inlandpetroleum.com.au/who-we-are
Liberty,1974,Australia,https://www.libertyoil.com.au/about-us
Lowes,1977,Australia,https://www.lowespetrol.com.au/about/
Metro Fuel,,Australia,https://metropetroleum.com.au/about-metro-petroleum/
Mobil,1911,United States,https://en.wikipedia.org/wiki/Mobil
Puma Energy,1997,Singapore,https://en.wikipedia.org/wiki/Puma_Energy
Shell,1907,United Kingdom,https://en.wikipedia.org/wiki/Shell_plc
South West,1971,Australia,https://swfc.com.au/about-us
Speedway,,Australia,https://speedway.com.au/the-speedway-story/
Transwest Fuels,,Australia,https://www.transwestfuels.com.au/about
United,1993,Australia,https://en.wikipedia.org/wiki/United_Petroleum
Westside,2011,Australia,https://www.linkedin.com/company/westside-petroleum-group
Woodham Petroleum,,Australia,https://www.woodhampetroleum.com.au/about/